DL3JAN;S07
DL6RAI;U08
DL3DTH;S07
DD5M;C01
DM3PKK;B14
DJ5MO;I43
DK9OY;H32
DL2RTJ;X36
DM2I;V14
DL6AG;S44
DL4ME;X30
DL5YL;Y21
DM4MN;R03
DJ0SP;N53
DL9ZP;V14
DL4HRM;W35
DK1EY;R09
DL2F;F07
DF1LX;M15
DF4ZL;F16
DL7UGN;Y22
DK3YD;C12
DL3AZ;F71
DL9GCG;P03
DK3DUA;S05
DF9MV;C07
DL8MAS;T19
DL5ARM;X33
DK5SF;Z46
DL1HAA;N22
DL5IAH;K09
DL1SAN;P14
DL2RUG;Y09
DL8HK;Q11
DL8UIL;Y24
DL4DZ;O04
DK2FG;N05
DL1MAJ;C25
DQ0A;O02
DL1QW;N06
DL1AMH;W29
DL4AC;H21
DL1AKP;X19
DL1ARJ;X28
DF3IR;K14
DM750FOR;Y27
DL6DSA;S06
DF7DJ;O47
DJ3CS;X04
DF5LW;M03
DF3OL;H24
DL3FBB;F54
DJ1SL;H48
DL1ALN;X06
DL2SBA;P02
DL8UBR;Y33
DL0YLV;YLV
DD5A;V10
DK2GZ;A36
DL6NBB;B26
DM6WAN;S54
DL0ARN;X10
DL3YEI;O05
DL2ROM;Y34
DL7VOG;D26
DL9LM;V14
DK6TV;T07
DL5AOJ;X34
DJ2FR;C06
DL3TU;P12
DK0LH;55LG
DL9MWG;W10
DL2NBY;B26
DF4PD;G23
DK2TC;G08
DF7OA;H01
DL50MER;25W2
DJ3AX;X17
DL3HXS;W22
DL4XU;E02
DJ1MM;C15
DL1AKL;X28
DL5OAB;G20
DL5BAW;I53
DL9MFY;C12
DL1RTS;Y07
DL6DH;O39
DL6NBS;B05
DL9SCO;P14
DF6RI;U15
DL2JAA;S48
DJ2SX;V23
DM3RCK;Y42
DL2ROA;Z94
DK5DC;DVO
DL7VMM;D25
DL5CD;S60
DL2FCA;F32
DD5KG;C18
DF8UO;A17
DF1PY;K01
DK4LX;F06
DL4HBF;G40
DM3DL;S02
DK0WK;50X3
DL8FCK;F49
DL6UM;X20
DL3HTF;W26
