A;;Baden;
;01;Konstanz;A01
;02;Bruchsal;A02
;03;Baden-Baden;A03
;04;Buehl;A04
;05;Freiburg;A05
;06;Heidelberg;A06
;07;Karlsruhe;A07
;08;Lahr;A08
;09;Dreiländereck;A09
;10;Mannheim;A10
;11;Offenburg;A11
;12;Pforzheim;A12
;13;Hochrhein-Klettgau;A13
;14;Schwarzwald;A14
;15;Renchtal;A15
;16;Emmendingen;A16
;17;Bad Säckingen;A17
;18;Furtwangen;A18
;19;Odenwald;A19
;20;Weinheim;A20
;21;Hochschwarzwald;A21
;22;Kraichgau;A22
;23;Taubertal;A23
;24;Ettlingen;A24
;25;Singen;A25
;26;Rastatt;A26
;27;Pfinzgau;A27
;28;Haslach/Kinzigtal;A28
;29;Buchen;A29
;30;Kehl;A30
;31;Überlingen;A31
;32;Waldkirch;A32
;33;Kaiserstuhl;A33
;34;Titisee;A34
;35;Durlach;A35
;36;Bretten;A36
;37;Dachsberg-Todtmoos;A37
;38;Bodensee;A38
;39;Altlussheim;A39
;40;Rheinstetten;A40
;41;Ladenburg;A41
;42;Messkirch;A42
;43;Eberbach;A43
;44;Markdorf;A44
;45;Madonnenland;A45
;46;Tauber-Franken;A46
;47;Markgräfler Land;A47
;48;Pfullendorf;A48
;49;Enztal;A49
;50;Murgtal;A50
;51;Die Rassler;A51
;52;Baar;A52
;53;Philippsburg;A53
B;;Franken;
;01;Fürth ;B01
;02;Ansbach;B02
;03;Marktredwitz;B03
;04;Aschaffenburg;B04
;05;Bamberg;B05
;06;Bayreuth;B06
;07;Kulmbach;B07
;08;Erlangen;B08
;09;Hof/Saale;B09
;10;Bad Neustadt/Saale;B10
;11;Nürnberg-Süd;B11
;12;Hersbruck;B12
;13;Schwabach;B13
;14;Schweinfurt;B14
;15;Selb;B15
;16;Neustadt/Aisch;B16
;17;Würzburg-Nord ;B17
;18;Würzburg;B18
;19;Coburg;B19
;20;Weissenburg;B20
;21;Kronach;B21
;22;Feuchtwangen;B22
;23;Naila;B23
;24;Miltenberg;B24
;25;Nürnberg-Nord;B25
;26;Forchheim;B26
;27;Höchstaft/Aisch;B27
;28;Lichtenfels;B28
;29;Ochsenfurt;B29
;30;Schwarzachtal;B30
;31;Uttenreuth;B31
;32;Pegnitz;B32
;33;Eckental;B33
;34;Lauf;B34
;35;Main-Spessart;B35
;36;Ebrachtal;B36
;37;Hassberge;B37
