AL;Alsace;67,68
AQ;Aquitaine;24,33,40,47,64
AU;Auvergne;03,15,43,63
BN;Basse Normandie;14,50,61
BO;Bourgogne;21,58,71,89
BR;Bretagne;22,29,35,56
CE;Centre;18,28,36,37,41,45
CH;Champagne;08,10,51,52
CO;Corse;201,202
FC;Franche Comte;25,39,70,90
HN;Haute Normandie;27,76
LR;Languedoc Roussillon;11,30,34,48,66
LI;Limousin;19,23,87
LO;Lorraine;54,55,57,88
MP;Midi-Pyrenees;09,12,31,32,46,65,81,82
NO;Nord;59,62
PL;Pays De Loire;44,49,53,72,85
PI;Picardie;02,60,80
PC;Poitou Charentes;16,17,79,86
PR;Provence Cote D'Azur;04,05,06,13,83,84
IF;Ile De France;75,77,78,91,92,93,94,95
RA;Rhone Alpes;07,26,38,42,69,73,74
