AF;;AFRICA ;;;
;1;Agalega Islands  ( 3B6 );3B6 ;1;
;2;Amsterdam & St Paul Islands  ( FT*Z );FT*Z ;1;
;3;Ascension Island  ( ZD8 );ZD8 ;1;
;4;Canary Islands  ( EA8 );EA8 ;1;
;5;Cape Verde – Leeward Islands  ( D4 );D4 ;;2
;6;Diego Garcia Island  ( VQ9 );VQ9 ;;2
;7;Comoro Islands  ( D6 );D6 ;1;
;8;Crozet Islands  ( FT*W );FT*W ;1;
;9;Europa Island  ( FT*E );FT*E ;1;
;10;Bioco (Fernando Poo) Island  ( 3C );3C ;;
;11;Glorioso Islands  ( FT*G );FT*G ;1;
;12;Juan De Nova Island  ( FT*J );FT*J ;1;
;13;Madagascar (Main Island Only)  ( 5R );5R ;;2
;14;Madeira Archipelago  ( CT3 );CT3 ;;2
;15;Saint Brandon Islands  ( 3B7 );3B7 ;1;
;16;Reunion Island  ( FR );FR ;;2
;17;Rodrigues Island  ( 3B9 );3B9 ;1;
;18;Pantelleria Island  ( IH9 );IH9 ;1;
;19;Pelagie Islands  ( IG9 );IG9 ;1;
;20;Bijagos Archipelago  ( J5 );J5 ;;
;21;Prince Edward & Marion Islands  ( ZS8 );ZS8 ;1;
;22;St Helena Island  ( ZD7 );ZD7 ;1;
;23;Sao Tome Island  ( S9 );S9 ;;2
;24;Seychelles – Inner Islands  ( S7 );S7 ;;
;25;Aldabra Islands  ( S7 );S7 ;;
;26;Cosmoledo Islands  ( S7 );S7 ;;
;27;Mayotte Island  ( FH );FH ;1;
;28;Socotra group  ( 7O );7O ;;
;29;Tristan Da Cunha Islands  ( ZD9 );ZD9 ;;2
;30;Gough Island  ( ZD9 );ZD9 ;;2
;31;Tromelin Island  ( FT*T );FT*T ;1;
;32;Zanzibar Island  ( 5H );5H ;;
;33;Amirante Islands  ( S7 );S7 ;;
;35;Farquhar Islands  ( S7 );S7 ;;
;36;Chafarinas Islands  ( EA9 );EA9 ;;2
;37;Northern/Western Province group  ( 9L );9L ;;
;38;Dahlak Archipelago  ( E3 );E3 ;;
;39;Annobon (Pagalu) Island  ( 3C0 );3C0 ;1;
;40;Coast Province North group  ( 5Z );5Z ;;
;41;Egmont group  ( VQ9 );VQ9 ;;2
;42;Alboran Island  ( EA9 );EA9 ;;2
;43;Estuaire Province group  ( TR );TR ;;
;44;Principe Island  ( S9 );S9 ;;2
;45;Senegal North group  ( 6W );6W ;;
;46;Desertas Islands  ( CT3 );CT3 ;;2
;47;Selvagens Islands  ( CT3 );CT3 ;;2
;48;Kerguelen Islands  ( FT*X );FT*X ;1;
;49;Mauritius Island  ( 3B8 );3B8 ;1;
;50;Dakhlet Nouadhibou/Inchiri Region group  ( 5T );5T ;;
;51;Guinee-Maritime Province South group  ( 3X );3X ;;
;52;Indian Ocean Coast South group  ( T5 );T5 ;;
;53;Gulf Of Tadjoura group  ( J2 );J2 ;;2
;54;Mafia Island  ( 5H );5H ;;
;56;Southern Province group  ( 9L );9L ;;
;57;Madagascar's Coastal Islands West  ( 5R );5R ;;2
;58;Salomon group  ( VQ9 );VQ9 ;;2
;59;Strait of Mandab group  ( J2 );J2 ;;2
;60;The Gambia group  ( C5 );C5 ;;
;61;Cabo Delgado District group  ( C9 );C9 ;;
;62;Suakin Archipelago  ( ST );ST ;;
;63;Pemba Island  ( 5H );5H ;;
;64;Western Cape Province South West group  ( ZS );ZS ;;
;65;Safi/Essaouira/Agadir Region group  ( CN );CN ;;
;66;Gaza/Maputo District group  ( C9 );C9 ;;
;67;Coast Province South group  ( 5Z );5Z ;;
;68;Western Sahara South group  ( CN, S0 );CN, S0 ;;
;69;Alhucemas Island  ( EA9 );EA9 ;;2
;70;Karas Region group  ( V5 );V5 ;;
;72;Inhambane District group  ( C9 );C9 ;;
;73;Sfax Region group  ( 3V );3V ;;
;74;Lindi/Mtwara Region group  ( 5H );5H ;;
;75;Dar Es Salaam/Pwani Region group  ( 5H );5H ;;
;76;Bayelsa/Rivers/Akwa Ibom etc States group  ( 5N );5N ;;
;77;Western Cape Province South group  ( ZS );ZS ;;
;78;Senegal South group  ( 6W );6W ;;
;79;Eastern Cape Province group  ( ZS );ZS ;;
;80;Red Sea Coast North group  ( E3 );E3 ;;
;81;Red Sea Coast South group  ( E3 );E3 ;;
;82;Rio Muni Province group  ( 3C );3C ;;
;83;Gabes/Medenine Region group  ( 3V );3V ;;
;84;Ghana group  ( 9G );9G ;;
;85;Western Cape Province North West group  ( ZS );ZS ;;
;86;Cape Verde – Windward Islands  ( D4 );D4 ;;2
;87;Tanga Region group  ( 5H );5H ;;
;88;Nampula District group  ( C9 );C9 ;;
;89;Ogooue-Maritime Province group  ( TR );TR ;;
;90;Madagascar's Coastal Islands East  ( 5R );5R ;;2
