KK;Krasnoyarsk region;0A, 0B, 0H
HK;Khabaovsk egion;0C
EA;Jewish Autonomous Region;0D
SL;Sakhalin region;0F, 0E
MG;Magadan Region;0I
AM;Amur region;0J
CK;Chukotka;0K
PK;Primorsky Krai;0L, 0M, 0N
BU;The Republic of Buryatia;0O
YA;The Republic of Sakha;0Q
IR;Irkutsk region;0S, 0T
ZK;Transbaikal region;0U, 0V
HA;The Republic of Khakassia;0W
TU;The Republic of Tyva;0Y
KT;Kamchatka;0Z, 0X
SP;Saint Petersburg;1A, 1B, 1D, 1F, 1G, 1J, 1L, 1M
LO;Leningrad region;1C
KL;The Republic of Karelia;1N
AR;Arhangelsk region;1O
NO;Nenets Autonomous Region;1P
VO;Vologda Region;1Q, 1R, 1S
NV;Novgorod region;1T
PS;Pskov region;1W
MU;Murmansk region;1Z
KA;Kaliningrad region;2F, 2K
MA;Moscow;3A, 3B, 3C, 2A, 2B, 2C, 5A, 5B, 5C
MO;Moscow region;3D, 3F, 3H, 2D, 2H, 5D, 5F, 5H
OR;Oryol Region;3E, 2E, 5E
LP;Lipetsk region;3G, 2G, 5G
TV;Tver region;3I, 2I, 5I
SM;Smolensk region;3L, 2L, 5L
YR;Yaroslavl region;3M, 2M, 5M
KS;Kostroma region;3N, 2N, 5N
TL;Tula region;3P, 2P, 5P
VR;Voronezh region;3Q, 3O, 3K, 2Q, 2O, 5Q, 5O, 5K
TB;Tambov Region;3R, 2R, 5R
RA;Ryazan Oblast;3S, 2S, 5S
NN;Nizhny Novgorod Region;3T, 2T, 5T
IV;Ivanovo region;3U, 2U, 5U
VL;Vladimir region;3V, 2V, 5V
KU;Kursk region;3W, 2W, 5W
KG;Kaluga region;3X, 2X, 5X
BR;Bryansk region;3Y, 2Y, 5Y
BO;Belgorod region;3Z, 2Z, 5Z
VG;Volgograd region;4A, 4B
SA;Saratov region;4C, 4D
PE;Penza region;4F
SR;Samara Region;4H, 4I
UL;Ulyanovsk region;4L, 4M
KI;Kirov region;4N, 4O
TA;Republic of Tatarstan;4P, 4Q, 4R
MR;Mari El Republic;4S, 4T
MD;The Republic of Mordovia;4U
UD;Udmurt republic;4W
CU;Chuvash Republic;4Y, 4Z
KR;Krasnodar region;6A, 6B, 6C, 6D, 7A, 7B, 7C, 7D
KC;Karachay-Cherkess Republic;6E, 7E
ST;Stavropol region;6H, 6F, 6G, 6T, 7H, 7F, 7G, 7T
KM;Republic of Kalmykia;6I, 7I
SO;Republic of North Ossetia - Alania;6J, 7J
RK;Republic of Crimea;6K, 7K
RO;Rostov region;6L, 6M, 6N, 7L, 7M, 7N
CN;Chechen Republic;6P, 7P
IN;The Republic of Ingushetia;6Q, 7Q
SE;Sevastopol;6R, 7R
AO;Astrakhan region;6U, 6V, 7U, 7V
DA;The Republic of Dagestan;6W, 7W
KB;Kabardino-Balkar Republic;6X, 7X
AD;Republic of Adygea;6Y, 7Y
CB;Chelyabinsk region;9A, 9B, 8A, 8B
SV;Sverdlovsk region;9C, 9D, 9E, 8C, 8D, 8E
PM;Perm Krai;9F, 9G, 8F, 8G
TO;Tomsk region;9H, 9I, 8H, 8I
HM;Khanty-Mansiysk AO - Yugra;9J, 8J
YN;Yamalo-Nenets AO;9K, 8K
TN;Tyumen region;9L, 8L
OM;Omsk region;9M, 9N, 8M, 8N
NS;Novosibirsk region;9O, 9P, 8O, 8P
KN;Kurgan region;9Q, 9R, 8Q, 8R
OB;Orenburg region;9S, 9T, 8S, 8T
KE;Kemerovo region;9U, 9V, 8U, 8V
BA;Republic of Bashkortostan;9W, 8W
KO;Komi Republic;9X, 8X
AL;Altai region;9Y, 8Y
GA;Altai Republic;9Z, 9Z
