KK;Krasnoyarsk region (R0A, R0B, R0H);0A, 0B, 0H
HK;Khabaovsk egion (R0C);0C
EA;Jewish Autonomous Region (R0D);0D
SL;Sakhalin region (R0F, R0E);0F, 0E
MG;Magadan Region (R0I);0I
AM;Amur region (R0J);0J
CK;Chukotka (R0K);0K
PK;Primorsky Krai (R0L, R0M, R0N);0L, 0M, 0N
BU;The Republic of Buryatia (R0O);0O
YA;The Republic of Sakha (Yakutia) (R0Q);0Q
IR;Irkutsk region (R0S, R0T);0S, 0T
ZK;Transbaikal region (R0U, R0V);0U, 0V
HA;The Republic of Khakassia (R0W);0W
TU;The Republic of Tyva (R0Y);0Y
KT;Kamchatka (R0Z, R0X);0Z, 0X
SP;Saint Petersburg (R1A, R1B, R1D, R1F, R1G, R1J, R1L, R1M);1A, 1B, 1D, 1F, 1G, 1J, 1L, 1M
LO;Leningrad region (R1C);1C
KL;The Republic of Karelia  (R1N);1N
AR;Arhangelsk region (R1O);1O
NO;Nenets Autonomous Region (R1P);1P
VO;Vologda Region (R1Q, R1R, R1S);1Q, 1R, 1S
NV;Novgorod region (R1T);1T
PS;Pskov region (R1W);1W
MU;Murmansk region (R1Z);1Z
KA;Kaliningrad region (RA2F, UA2F-UI2F, RA2K, UA2K-UI2K);2F, 2K
MA;Moscow (R3A, R3B, R3C, R2A, R2B, R2C, R5A, R5B, R5C);3A, 3B, 3C, 2A, 2B, 2C, 5A, 5B, 5C
MO;Moscow region (R3D, R3F, R3H, R2D, R2H, R5D, R5F, R5H);3D, 3F, 3H, 2D, 2H, 5D, 5F, 5H
OR;Oryol Region (R3E, R2E, R5E);3E, 2E, 5E
LP;Lipetsk region (R3G, R2G, R5G);3G, 2G, 5G
TV;Tver region (R3I, R2I, R5I);3I, 2I, 5I
SM;Smolensk region (R3L, R2L, R5L);3L, 2L, 5L
YR;Yaroslavl region (R3M, R2M, R5M);3M, 2M, 5M
KS;Kostroma region (R3N, R2N, R5N);3N, 2N, 5N
TL;Tula region (R3P, R2P, R5P);3P, 2P, 5P
VR;Voronezh region (R3Q, R3O, R3K, R2Q, R2O, R5Q, R5O, R5K);3Q, 3O, 3K, 2Q, 2O, 5Q, 5O, 5K
TB;Tambov Region (R3R, R2R, R5R);3R, 2R, 5R
RA;Ryazan Oblast (R3S, R2S, R5S);3S, 2S, 5S
NN;Nizhny Novgorod Region (R3T, R2T, R5T);3T, 2T, 5T
IV;Ivanovo region (R3U, R2U, R5U);3U, 2U, 5U
VL;Vladimir region (R3V, R2V, R5V);3V, 2V, 5V
KU;Kursk region (R3W, R2W, R5W);3W, 2W, 5W
KG;Kaluga region (R3X, R2X, R5X);3X, 2X, 5X
