BGP;Gorzów Wielkopolski (grodzki)
BGW;Gorzów Wielkopolski (ziemski)
BKD;Krosno Odrzańskie
BMI;Międzyrzecz
BNG;Żagań 
BNL;Nowa Sól
BSC;Słubice
BSK;Strzelce Krajeńskie
BSN;Sulęcin
BSO;Świebodzin
BWP;Wschowa
BZG;Zielona Góra (ziemski)
BZL;Zielona Góra (grodzki)
BZY;Żary
CAQ;Łask
CBJ;Bełchatów
CBW;Brzeziny
CDD;Poddębice
CEC;Łęczyca
CGV;Zgierz
CIA;Sieradz
CIR;Skierniewice (grodzki)
CIT;Piotrków Trybunalski (grodzki)
CIW;Skierniewice (ziemski)
CIZ;Łowicz
CKU;Kutno
CLD;Łódź
CLY;Łódź Wschodnia (ziemski)
COH;Opoczno
CPB;Pabianice
CPT;Piotrków Trybunalski (ziemski)
CPV;Pajęczno
CRE;Radomsko
CRX;Rawa Mazowiecka
CTZ;Tomaszów Mazowiecki
CUL;Zduńska Wola
CUS;Wieruszów
CWU;Wieluń
DAB;Wałbrzych (ziemski)
DWB;Wałbrzych (grodzki)
DBE;Bolesławiec
DDZ;Dzierżoniów
DEG;Legnica (grodzki)
DGG;Głogów
DGX;Góra
DID;Świdnica
DJG;Jelenia Góra (ziemski)
DJM;Jelenia Góra (grodzki)
DJR;Jawor 
DKQ;Kamienna Góra
DKV;Kłodzko
DLF;Lwówek Śląski
DLG;Legnica (ziemski)
DLH;Lubań
DML;Milicz
DOA;Oława
DOE;Oleśnica
DPP;Polkowice
DSS;Środa Śląska
DSV;Strzelin
DTR;Trzebnica
DUN;Lubin
DWQ;Wołów 
DWR;Wrocław (ziemski)
DWW;Wrocław (grodzki)
DZO;Zgorzelec
DZS;Ząbkowice Śląskie
DZT;Złotoryja
FAG;Starogard Gdański
FCJ;Chojnice
FCU;Człuchów
FDY;Gdynia
FEB;Lębork
FGD;Gdańsk
FIY;Kwidzyn
FMB;Malbork
FNR;Nowy Dwór Gdański
FOV;Sopot
FPK;Puck 
FRU;Kartuzy
FSL;Słupsk (ziemski)
FTC;Tczew
FUG;Pruszcz Gdański
FUK;Słupsk (grodzki)
FUM;Sztum
FWJ;Wejherowo
FYA;Kościerzyna
FYW;Bytów
GBB;Bielsko Biała (ziemski)
GBH;Bielsko Biała (grodzki)
GBN;Będzin 
GCT;Częstochowa (grodzki)
GCW;Chorzów
GCY;Cieszyn
GCZ;Częstochowa (ziemski)
GDG;Dąbrowa Górnicza 
GEM;Siemianowice Śląskie
GET;Świętochłowice
GGC;Gliwice (ziemski)
GGE;Gliwice (grodzki)
GIK;Piekary Śląskie
GJW;Jaworzno
GJZ;Jastrzębie Zdrój
GKB;Katowice
GKX;Kłobuck
GLX;Lubliniec
GMF;Mysłowice
GMS;Myszków
GMW;Mikołów
GNI;Sosnowiec
GPY;Pszczyna
GRB;Rybnik (ziemski)
GRC;Racibórz
GRN;Rybnik (grodzki)
GRS;Ruda Śląska
