CN;;UR5Y — CHERNIVTSI REGION;
;04;Vyzhnytsia district;CN-04
;12;Pytyla district;CN-12
;14;Storozhynets' district;CN-14
IF;;UR5S — IVANO-FRANKIVS'K REGION;
;02;Bohorodchany district;IF-02
;03;Bolekhiv ;IF-03
;05;Verkhovyna district;IF-05
;08;Dolyna district;IF-08
;13;Kosiv district;IF-13
;14;Nadvirna district;IF-14
;16;Rozhniativ district;IF-16
;18;Tysmenytsia district;IF-18
;20;Iaremcha ;IF-20
LV;;UR5W — L'VIV REGION;
;12;Drohobych district;LV-12
;24;Skole district;LV-24
;26;Staryi Sambir district;LV-26
;30;Turka district;LV-30
ZA;;UR5D — ZAKARPATSKA REGION;
;04;Velykyi-Bereznyi district;ZA-04
;06;Volovets' district;ZA-06
;07;Irshava district;ZA-07
;08;Mizhhiria district;ZA-08
;10;Mukacheve district;ZA-10
;11;Perechyn district;ZA-11
;12;Rakhiv district;ZA-12
;13;Svaliava district;ZA-13
;14;Tiachiv district;ZA-14
;15;Uzhhorod ;ZA-15
;17;Khust district;ZA-17
