CH;;UR5C — CHERKASY REGION;
;01;Cherkasy, Prydniprovs'kyi district;СH-01
;02;Cherkasy, Sosnivs'kyi district;CH-02
;03;Vatutine;CH-03
;04;Horodyshche district;CH-04
;05;Drabiv district;CH-05
;06;Zhashkiv district;CH-06
;07;Zvenyhorodka district;CH-07
;08;Zolotonosha ;CH-08
;09;Zolotonosha district;CH-09
;10;Kamianka district;CH-10
;11;Kaniv ;CH-11
;12;Kaniv district;CH-12
;13;Katerynopil' district;CH-13
;14;Korsun'-Shevchenkivs'kyi district;CH-14
;15;Lysianka district;CH-15
;16;Man'kivka district;CH-16
;17;Monastyryshche district;CH-17
;18;Smila ;CH-18
;19;Smila district;CH-19
;20;Tal'ne district;CH-20
;21;Uman' ;CH-21
;22;Uman' district;CH-22
;23;Khrystynivka district;CH-23
;24;Cherkasy district;CH-24
;25;Chyhyryn district;CH-25
;26;Chornobai district;CH-26
;27;Shpola district;CH-27
CN;;UR5Y — CHERNIVTSI REGION;
;01;Chernivtsi, Shevchenkovs'kiy district;CN-01
;02;Chernivtsi, Pershotravnevyi district;CN-02
;03;Chernivtsi, Sadhors'kyi district;CN-03
;04;Vyzhnytsia district;CN-04
;05;Hertsa district;CN-05
;06;Hlyboka district;CN-06
;07;Zastavna district;CN-07
;08;Kel'mentsi district;CN-08
;09;Kitsman' district;CN-09
;10;Novodnistrovs'k ;CN-10
;11;Novoselytsia district;CN-11
;12;Pytyla district;CN-12
;13;Sokyriany district;CN-13
;14;Storozhynets' district;CN-14
;15;Hotyn district;CN-15
CR;;UR5R — CHERNIHIV REGION;
;01;Chernihiv, Desnians'kyi district;CR-01
;02;Chernihiv, Novozavods'kyi district;CR-02
;03;Bakhmach district;CR-03
;04;Bobrovyts'a district;CR-04
;05;Borzna district;CR-05
;06;Varva district;CR-06
;07;Horodnia district;CR-07
;08;Ichnia district;CR-08
;09;Kozelets' district;CR-09
;10;Korop district;CR-10
;11;Koriukivka district;CR-11
;12;Kulykivka district;CR-12
;13;Mena district;CR-13
;14;Nizhyn ;CR-14
;15;Nizhyn district;CR-15
;16;Novhorod-Sivers'ky district;CR-16
;17;Nosivka district;CR-17
;18;Pryluky ;CR-18
;19;Pryluky districkt;CR-19
;20;Ripky district;CR-20
;21;Semenivka district;CR-21
;22;Sosnytsia district;CR-22
;23;Sribne district;CR-23
;24;Talalaivka district;CR-24
;25;Chernihiv district;CR-25
;26;Shchors district;CR-26
;27;Slavutych city;CR-27
DN;;UR5E — DNIPRO REGION;
;01;Dnipro, Amur-Nyzhn'odniprovs'kyi district;DN-01
;02;Dnipro, Babushkins'kyi district;DN-02
;03;Dnipro, Zhovtnevyi district;DN-03
;04;Dnipro, Idustrial'nyi district;DN-04
;05;Dnipro, Kirovs'kyi district;DN-05
;06;Dnipro, Chervonohvardijs'kyi district;DN-06
;07;Dnipro, Lenins'kyi district;DN-07
;08;Dnipro, Samars'kyi district;DN-08
;09;Apostolove district;DN-09
;10;Vasyl'kivka district;DN-10
;11;Verkhn'odniprovs'k district;DN-11
;12;Vil'nohirs'k district;DN-12
;13;Dnipridzerzhyns'k Bahlejs'kyi district;DN-13
;14;Dnipropetrovs'k, district;DN-14
;15;Zhovti Vody district;DN-15
;16;Kryvyi Rih Dzerzhyns'kyi;DN-16
;17;Kryvyi Rih district;DN-17
;18;Krynychky district;DN-18
;19;Mahdalynivka district;DN-19
;20;Marhanets' ;DN-20
;21;Mezhova district;DN-21
;22;Nikopol' ;DN-22
;23;Nikopol' district;DN-23
;24;Novomoskovs'k ;DN-24
;25;Novomoskovs'k district;DN-25
;26;Ordzhonikidze ;DN-26
;27;Pavlohrad ;DN-27
;28;Pavlohrad district;DN-28
;29;Pershotravens'k ;DN-29
;30;Petrykivka district;DN-30
;31;Petropavlivka district;DN-31
;32;Pokrovs'ke district;DN-32
;33;Piatykhatky district;DN-33
;34;Synel'nykove ;DN-34
;35;Synel'nykove district;DN-35
;36;Solone district;DN-36
;37;Sofiivka district;DN-37
;38;Ternivka ;DN-38
;39;Ternivka district;DN-39
;40;Tomakivka district;DN-40
;41;Tsarychanka district;DN-41
;42;Shyroke district;DN-42
;43;Iurivka district;DN-43
;44;Dnipridzerzhyns'k, Zavodskyi district;DN-44
;45;Dnipridzerzhyns'k, Dniprovs'kyi district;DN-45
;46;Kryvyi Rih Dolhintsevs'kyi district;DN-46
;47;Kryvyi Rih Zhovtnevyi district;DN-47
;48;Kryvyi Rih Inhulets'kyi district;DN-48
;49;Kryvyi Rih Saksahans'kyi district;DN-49
;50;Kryvyi Rih Ternivs'kyi district;DN-50
;51;Kryvyi Rih Tsentral'no-mis'kyi district;DN-51
DO;;UR5I — DONETS'K REGION;
;01;Donets'k, Budjonivs'kyi district;DO-01
;02;Donets'k, Voroshylovs'kyi district;DO-02
;03;Donets'k, Kalinins'kyi district;DO-03
;04;Donets'k, Kyivs'kyi district;DO-04
;05;Donets'k, Kirovs'kyi district;DO-05
;06;Donets'k, Kuybyshevs'kyi district;DO-06
;07;Donets'k, Lenins'kyi district;DO-07
;08;Donets'k, Petrovs'kyi district;DO-08
;09;Donets'k, Proletars'kyi district;DO-09
;10;Avdiivka ;DO-10
;11;Oleksandrivka district;DO-11
;12;Amvrosiivka district;DO-12
;13;Artemove ;DO-13
;14;Artemivs'k district;DO-14
;15;Velyka Novosilka district;DO-15
;16;Volnovakha district;DO-16
;17;Volodars'k district;DO-17
;18;Horlivka, Tsentral'no-mis'kyi district;DO-18
;19;Debal'tseve ;DO-19
;20;Dzerzhyns'k ;DO-20
;21;Dymytrov ;DO-21
;22;Dobropillia ;DO-22
;23;Dobropillia district;DO-23
;24;Dokuchaievs'k ;DO-24
;25;Druzhkivka ;DO-25
;26;Ienakieve ;DO-26
;27;Zhdanivka ;DO-27
;28;Kirovs'ke ;DO-28
;29;Kostiantynivka ;DO-29
;30;Kostiantynivka district;DO-30
;31;Kramators'k ;DO-31
;32;Krasny Lyman;DO-32
;33;Krasny Lyman district;DO-33
;34;Krasnoarmiis'k ;DO-34
;35;Krasoarmiis'k district;DO-35
;36;Makiyivka, Tsentral'no-mis'kyi district;DO-36
;37;Manhush district;DO-37
;38;Maryinka district;DO-38
;39;Mariupol', Zhovtnevyi district;DO-39
;40;Novoazovs'k district;DO-40
;41;Novohrodivka ;DO-41
;42;Selydove ;DO-42
;43;Slovians'k ;DO-43
;44;Slovians'k district;DO-44
;45;Snizhne ;DO-45
;46;Starobesheve district;DO-46
;47;Tel'manove district;DO-47
;48;Torez ;DO-48
;49;Vuhledar district;DO-49
;50;Khartsyz'k ;DO-50
;51;Shakhtars'k ;DO-51
;52;Shakhtars'k district;DO-52
;53;Iasynuvata ;DO-53
;54;Iasynuvata district;DO-54
;55;Horlivka Kalinins'kyi district;DO-55
;56;Horlivka, Nikitovs'kyi district;DO-56
;57;Makiivka ;DO-57
;58;Makiivka district;DO-58
;59;Mariupol', Il'ichovskyi district;DO-59
;60;Mariupol', Ordzhonikidzevs'kyi district;DO-60
;61;Mariupol', Prymors'kyi district;DO-61
;62;Makiivka, Chervonogvardiis'kyi district;DO-62
;63;Makiivka, Kirovs'kyi district;DO-63
HA;;UR5L — KHARKIV REGION;
;01;Kharkiv, Dzerzhyns'kyi district;HA-01
;02;Kharkiv, Kyivs'kyi district;HA-02
;03;Kharkiv, Kominternivs'kyi district;HA-03
;04;Kharkiv, Lenins'kyi district;HA-04
;05;Kharkiv, Moscows'kyi district;HA-05
;06;Kharkiv, Zhovtnevyi district;HA-06
;07;Kharkiv, Ordzhonikidzevs'kyi district;HA-07
;08;Kharkiv, Phrunzens'kyi district;HA-08
;09;Kharkiv, Chervonozavods'kyi district;HA-09
;10;Balakliia district;HA-10
;11;Barvinkove district;HA-11
;12;Blyzniuky district;HA-12
;13;Bohodukhiv district;HA-13
;14;Borova district;HA-14
;15;Valky district;HA-15
;16;Velyky Burluk district;HA-16
;17;Vovchans'k district;HA-17
;18;Dvorichna district;HA-18
;19;Derhachi district;HA-19
;20;Zachepylivka district;HA-20
;21;Zmiyiv district;HA-21
;22;Zolochiv district;HA-22
;23;Izium ;HA-23
;24;Izium district;HA-24
;25;Kehychivka district;HA-25
;26;Kolomak district;HA-26
;27;Krasnohrad district;HA-27
;28;Krasnokuts'k district;HA-28
;29;Kupians'k ;HA-29
;30;Kupians'k district;HA-30
;31;Lozova ;HA-31
;32;Lozova district;HA-32
;33;Liubotyn ;HA-33
;34;Nova Vodolaha district;HA-34
;35;Pervomais'kyi ;HA-35
;36;Pervomais'kyi district;HA-36
;37;Pechenihy district;HA-37
;38;Sakhnovshchyna district;HA-38
;39;Kharkiv district;HA-39
;40;Chuhuyiv ;HA-40
;41;Chuhuyiv district;HA-41
;42;Shevchenkove district;HA-42
HE;;UR5G — KHERSON REGION;
;01;Kherson, Dniprovs'kyi district;HE-01
;02;Kherson, Komsomol's'kyi district;HE-02
;03;Kherson, Suvorovs'kyi district;HE-03
;04;Beryslav district;HE-04
;05;Bilozerka district;HE-05
;06;Velyka Lepetykha district;HE-06
;07;Velyka Oleksandrivka district;HE-07
;08;Verkhniy Rohachyk district;HE-08
;09;Vysokopillia district;HE-09
;10;Heniches'k district;HE-10
;11;Hola Prystan' district;HE-11
;12;Hornostayivka district;HE-12
;13;Ivanivka district;HE-13
;14;Kalanchak district;HE-14
;15;Kakhovka ;HE-15
;16;Kakhovka district;HE-16
;17;Nyzhni Sirohozy district;HE-17
;18;Nova Kakhovka;HE-18
;19;Novovorontsovka district;HE-19
;20;Novotroyits'ke district;HE-20
;21;Skadovs'k district;HE-21
;22;Tsiurupyns'k district;HE-22
;23;Chaplynka district;HE-23
HM;;UR5T — KHMEL'NYTS'KYI REGION;
;01;Khmel'nyts'kyi ;HM-01
;02;Bilohiria district;HM-02
;03;Vin'kivtsi district;HM-03
;04;Volochys'k district;HM-04
;05;Horodok district;HM-05
;06;Derazhnia district;HM-06
;07;Dunayivtsi district;HM-07
;08;Iziaslav district;HM-08
;09;Kamianets'-Podil's'kyi ;HM-09
;10;Kamianets'-Podil's'kyi district;HM-10
;11;Krasyliv district;HM-11
;12;Letychiv district;HM-12
;13;Netishyn ;HM-13
