Halden;LA0CX,LA1BU,LA1FX,LA1OF,LA1SJA,LA1SM,LA1UR,LA2F,LA2KIA,LA2KO,LA2LIA,LA2QF,LA3EW,LA3NHA,LA3QL,LA3TAA,LA3TL,LA3UL,LA3VL,LA3XU,LA5FGA,LA5JBA,LA5LBA,LA5TX,LA5YDA,LA5ZSA,LA6BB,LA6LB,LA6OMA,LA6QMA,LA6SAA,LA7HV,LA7PS,LA7RS,LA8COA,LA8EHA,LA8GHA,LA8HHA,LA8RFA,LA8TN,LA8WU,LA8ZI,LA8ZIA,LA9AIA,LA9EN,LA9FN,LA9GN,LA9GP,LA9H,LA9HN,LA9IV,LA9LPA,LA9MJ,LA9PJ,LA9QJ,LA9WF,LA9WO,LB5TD
Moss;LA1BKPK,LA1FDM,LA1HBA,LA1YKA,LA2BO,LA2KG,LA2MIA,LA2XEA,LA3QAA,LA3RX,LA3SPA,LA3XPA,LA3YU,LA4AA,LA5EAA,LA5EC,LA5ITA,LA5LEA,LA5M,LA5NBA,LA5RP,LA5UU,LA6AFA,LA6CAA,LA6FK,LA6TMA,LA6VJA,LA6YQ,LA7CL,LA7IPA,LA7JAA,LA7WKA,LA7YIA,LA8EJ,LA8MNA,LA8XJ,LA9HDA,LA9KFA,LA9MPA,LB3WE,LB5GC,LB5RD
Sarpsborg;LA0GE,LA1CIA,LA1MG,LA1PGA,LA1QCA,LA1SFS,LA2AW,LA2DGA,LA2SU,LA3OX,LA3PPA,LA4AF,LA4CBA,LA4IFA,LA4OIA,LA4UM,LA5B,LA5C,LA5MBA,LA5RBA,LA5RQ,LA5VQ,LA6ALA,LA6CM,LA6GIA,LA6RFA,LA6SMA,LA6UJA,LA6YL,LA8DOA,LA8KNA,LA8LNA,LA8MY,LA8ONA,LA8YIA,LA9BIA,LA9MRA,LA9MT,LA9NPA,LA9VHA,LA9VKA,LA9YAA,LB1TC,LB4VE,LB5KE,LB8TE
Fredrikstad;LA0CK,LA1DJA,LA1EU,LA1GY,LA1JBA,LA1LAA,LA1MBA,LA1TFA,LA1UIA,LA1VCA,LA1VFA,LA1WFA,LA1WI,LA1XFA,LA2FN,LA2LDA,LA2TV,LA3CS,LA3CW,LA3GKA,LA3NV,LA3OKA,LA3QBA,LA3ZO,LA4BFA,LA4KM,LA4MLA,LA4NIA,LA4NLA,LA4QT,LA4WX,LA4ZY,LA5CBA,LA5F,LA5IBA,LA5NJA,LA5VF,LA5WQ,LA5YTA,LA6BLA,LA6CLA,LA6JU,LA6KIA,LA6KU,LA6KV,LA6NMA,LA6PB,LA6PMA,LA6QP,LA6QY,LA6YIA,LA6ZHA,LA6ZIA,LA7AQ,LA7BQ,LA7GQ,LA7NM,LA7SC,LA7UIA,LA7VE,LA7XK,LA7YC,LA8BX,LA8KHA,LA8ON,LA8PN,LA8QMA,LA8SI,LA8XRA,LA8YL,LA9AEA,LA9CBA,LA9DM,LA9FSA,LA9GFA,LA9IPA,LA9IRA,LA9JG,LA9JPA,LA9LHA,LA9LRA,LA9WDA,LA9YT,LB1ZF,LB2TB,LB5ZC
Hvaler;LA2BBA,LA3QPA,LA5JQ,LA6ADA,LA6WJA,LA6WK,LA6ZU,LA8QN,LA9PTA,LB4EB,LB7PE
Aremark;LA9LJ
Marker;LA2NIA
Rømskog;LA3VSA
Trøgstad;LA4RAA,LA5HN,LA6PNA
Spydeberg;LA3KJ,LA3SCA,LA4SB,LA5JC,LA5RNA,LA6CE,LA6JKA,LA6LY,LA6OH,LA7HOA,LA7ZSA,LA8FNA,LA9CK,LB8LG
Askim;LA1AIA,LA1RTA,LA1ZK,LA1ZP,LA2CBA,LA2EIA,LA2GH,LA2LW,LA2UCA,LA3BRA,LA3IL,LA3LQ,LA3OV,LA3RBA,LA3UFA,LA4AH,LA4MP,LA4YR,LA5UI,LA6EF,LA6HEA,LA6MMA,LA6QAA,LA7QHA,LA7SV,LA7TLA
Eidsberg;LA1NU,LA1UBA,LA2NRA,LA3SY,LA7CO,LA7RLA
Skiptvet;LA1CBA,LA7CBA
Rakkestad;LA1FSA,LA1JO,LA3DS,LA3WL,LA5YFA,LA7CM,LA7SL,LA8QL,LB8QG
Råde;LA1KT,LA3YPA,LA4TMA,LA6YFA,LA9VB,LB9X
Rygge;LA0HV,LA1AJ,LA1DY,LA2DZ,LA2GV,LA2HO,LA2WUA,LA3CCA,LA3KH,LA3PMA,LA3RPA,LA3VPA,LA3XE,LA5HU,LA5JL,LA5UKA,LA6EHA,LA6Q,LA6RAA,LA6TV,LA6XEA,LA7FHA,LA7FU,LA7GOA,LA8GOA,LA8NL,LA9U,LA9VDA,LB2EF,LB7RC
Våler;LA1HHA,LA2EOA,LA3ETA,LA5WPA,LA6JNA,LA6SLA,LA7JOA,LA7PRA,LA8HJA,LA8MT,LA8NDA,LA8PT,LA9ESA,LA9WLA,LB9MC
Hobøl;LA1CSA,LA4VAA,LA9UHA
Vestby;LA1OG,LA2HFA,LA2LO,LA2RR,LA2SFA,LA2TTA,LA3PFA,LA3UPA,LA3VG,LA4FU,LA4IEA,LA4RC,LA5HJA,LA6DMA,LA7TJ,LA8HNA,LA8IOA,LA8UW,LA8V,LA9BH,LA9QJA,LB2FD,LB8YC
