VS01;Sid ( SREM );YU7XX,YU7YR,YT7IC,YU4SMD
VS02;Sremska Mitrovica ( SREM );YT7SFW,YU7SCC,YU7NSZ,YT7RIA,YT7SIT,YU7SKG,YT7RBO,YT7SKS,YU7HD,YU7SMM,YT7SKA,YT7SKB,YT7SKR,YT8KDZ,YT7SKD,YT7SKV,YT7STO,YT7RDK
VS03;Ruma ( SREM );YT7Z,YT9T,YU7KWX,YU7EE,YT7MHL,YU7NPB,YT7MFJ,YU7CF,YT1VMP,YT7FMS,YU2ID,YT1MCH,YT7EI
VS04;Irig ( SREM );YU7KG,YT7MMS,YT1SKV,YU1YR
VS05;Pecinci ( SREM );YU1M,YU3W,YT3C
VS06;Stara Pazova ( SREM );YU7ML,YU7KB,YU7ABQ,YU7PAA,YT7MHA,YT7MNE,YT1RIK,YT1BVA,YT1BD,YT7RPC,YT7RPG,YT1RQD,YT8NKN,YU4GBB
VS07;Indjija ( SREM );YT1RR,YU7KT,YT7MND,YT7MLN,YT1BBB,YU1SX,YT1DTI,YT1RES,YT7ADA,YU2MAS
NS01;Novi Sad;YT9W,YT3TPS,YT2ZE,YU2AAW,YT2TRL,YT1RGR,YU1CZ,YT1MRG,YT1DPI,YT1TPK,YT1DRD,YT1SCS,YT1MAS,YT1TZR,YU1TBV,YU5FM,YU1IMN,YT2SBT,YT1ARS,YU7BPQ,YT90NS,YT7M,YT2CQ,YU3LT,YU2MDX,YU7QA,YU7BG,YT4DD,YT7KM,YT7WM,YU3AA,YU7DZ,YU7NT,YU7SIO,YU7WL,YU7RL,YU7W,YU7YG,YT5C,YU5D,YU7RN,YU7RAQ,YU7WA,YT7VG,YU7SLA,YT7MA,YT1C,YU7AC,YU7SVA,YU7RQ,YU4BMC,YU4YLK,YU4BNM,YU4BLA,YU4RMS,YU4MAV,YU7RO,YU7NZ,YU7SIK,YU7VN,YU7NLQ,YU7RSX,YT7RBC,YU7NWX,YU3MAY,YU2MDQ,YU7RAM,YU7SID,YT7REW,YU7TRC,YU7ZEX,YU7TRT,YT7SB,YU7RJD,YU7HI,YU2MEX,YU88BPQ,YU0NS,YT2AD,YU7CW,YU45D,YU60BPQ,YU7WW,YT7RW,YU2V,YU7MK,YU7KO,YU7KF,YU7YU,YU7DM,YU7FF,YU7WN,YT7MP,YU7NS,YU7NGB,YU7RTQ,YU7NXW,YT7SJC,YT7SJD,YT7RUF,YU7LP,YU7C,YU7SIA,YT7SET,YT7RUS,YU7BL,YT7SBX,YU5AA,YT7TX,YT7RKO,YU7RZZ,YT7VUK,YT7SIW,YU7RUH,YU7SMD,YU7DX,YU7SAD,YT7RXK,YU7RZV,YU7OSA,YU7OMV,YU7EI,YU7MN,YU7MB,YU7TNT,YT7SHS,YU7BY,YU7AF,YT7AAA,YT7KA,YU2MAU,YU7OPA,YT7RYG,YT7SDK,YT7SDJ,YU7RTN,YU7GB,YT7DX,YT7MKV,YT7RWX,YT7RSB,YU7FK,YT7SIM,YU7XO,YT7SEK,YU7RTZ,YT7RUM,YU4BR,YT5X,YU7EK,YU7SYL,YU7RAX,YT7RPM,YU7ORA,YT7SFF,YT7RJA,YU3MUP,YT7BIA,YT7ALF,YU7WMM,YU7ZN,YT7WW,YU7VB,YU7RST,YU7WZ,YT7RVT,YU7RRL,YT7RGR,YU7NIS,YT7IPA,YT7MTM,YU2ELA,YU8VAK,YT7SIC,YU7NG,YT7XC,YU7RZK,YT7SJS,YT7SMS,YT7SLB,YU7SBY,YU2MIB,YU7VU,YT7RBA,YT7MVM,YU7REA,YU7IBC,YT7LGT,YT7MKW,YT7MGL,YU7RCY,YT7RPH,YT7SQA,YU5PET,YU2ZR,YU7TOR,YU7VUC,YU7PPM,YU7VOJ,YU7PFC,YU2TDA,YT7CDC,YU7IBB,YU1OGI,YU2ABC,YU7TO,YT7JAN,YT7RKH,YT1SCA,YU2MFC,YU2MZZ,YU2HOG,YU1SEM,YT7MWZ,YT7RIB,YU2MMC,YU2BPA,YT7AMB,YU7NEN,YU7FY,YU7EV,YU7PPW,YU4NSG,YU4GNS,YU7PCB,YU2MBX,YU7SDD,YT7BID,YU7MX,YT7MLO,YU7RBX,YT7RBY,YU7PXH,YU2MEF,YT5TTT,YU0UNS,YU0VNS,YT7MXO,YT7SEZ,YT5JKM,YU4STV,YU4KRC,YU4PET,YU4ANT,YT7MTB,YT7RRO,YU2CC,YU7DD,YT7SJE,YU7QQ,YT7MEZ,YT7ABC,YT7JJJ,YT7SFL,YT7SFS,YU7NGM,YU7OO,YU7RAA,YT7LIK,YT7SKI,YT7SKJ,YT7SKF,YT7SKH,YT7SKE,YT7SKL,YT7SKC,YT7KW,YU7SDB,YT7RIM,YT7RDB,YU0XFG,YU0UFG,YU1NRM
VB01;Petrovaradin ( Juzna Backa );YT5CT,YT7T,YT5N,YU45AF,YU7PEP,YU7TIB,YT7RA,YT7RVP,YT7RYZ,YT7RG,YU7SK,YT7RE,YT7CMM,YT7MI,YU2MZC
VB02;Sremski Karlovci ( Juzna Backa );YT7MMD,YU7SDT,YU7SET,YU7XRD,YT7SRE,YT7SMM,YU7ZLB
VB03;Beocin ( Juzna Backa );YT7SKP,YT7MFS
