Carlow;EI2CJ,EI2CRG,EI2HZB,EI2SIRG,EI4FNB,EI4GYB,EI5GNB,EI6GEB,EI6GZB,EI8BD,EI8GD,EI8HA,EI8GTB,EI9IG,EI9IG
Cavan;EI3C,EI3IK,EI3GOB,EI4FF,EI5IH,EI5HWB,EI6S,EI6GV,EI7IJ,EI7IN,EI7CAB,EI8IC,EI9DB,EI9CUB,EI9DSB,EI9CUB
Clare;EI0A,EI0CZ,EI2DD,EI2GM,EI3DT,EI3HZ,EI4DC,EI4GB,EI4GG,EI4ALE,EI4FQB,EI4GXB,EI4HRB,EI5CA,EI5DH,EI5JM,EI5HXB,EI6CY,EI6CZ,EI6DP,EI6FE,EI6HE,EI6CTB,EI6HHB,EI6HKB,EI7AG,EI7JV,EI7ALB,EI8CG,EI8EM,EI8FW,EI8GDB,EI8GEB,EI9EB,EI9GY,EI9GHB,EI9GY,EI9GHB
Cork;EI1C,EI1E,EI1CI,EI1CX,EI1NC,EI2CV,EI2FG,EI2FQ,EI2FS,EI2GC,EI2GN,EI2GO,EI2GR,EI2GY,EI2HI,EI2HV,EI2HY,EI2IB,EI2IG,EI2IO,EI2IV,EI2JT,EI2JU,EI2JV,EI2KA,EI2EMB,EI2EUB,EI2GGB,EI2GNB,EI2GPB,EI2HDB,EI3BF,EI3BK,EI3CA,EI3DP,EI3EC,EI3EG,EI3EZ,EI3FO,EI3FU,EI3GN,EI3GS,EI3HB,EI3IE,EI3IF,EI3IY,EI3JE,EI3JN,EI3KC,EI3KD,EI3DFB,EI3EBB,EI3EEB,EI3EFB,EI3EMB,EI3FDB,EI3FOB,EI3GAB,EI3GDB,EI3GGB,EI3HGB,EI3HJB,EI4BZ,EI4CE,EI4DQ,EI4EL,EI4FX,EI4GC,EI4GJ,EI4GV,EI4HF,EI4HQ,EI4HT,EI4HZ,EI4IF,EI4IW,EI4JF,EI4JK,EI4JN,EI4KD,EI4KH,EI4KJ,EI4ABB,EI4ANB,EI4DCB,EI4DIB,EI4DUB,EI4GAB,EI4GRC,EI4HLB,EI5AL,EI5AR,EI5CD,EI5DZ,EI5EE,EI5FC,EI5FT,EI5GM,EI5HE,EI5HG,EI5HI,EI5HV,EI5IL,EI5IU,EI5JF,EI5JV,EI5KD,EI5KF,EI5ACB,EI5EBB,EI5FGB,EI5FJB,EI5GEB,EI5GGB,EI5GJB,EI5GSB,EI5GWB,EI5GXB,EI5HAB,EI5HVB,EI5HZB,EI6AD,EI6AK,EI6BA,EI6BT,EI6CB,EI6ES,EI6FM,EI6FY,EI6GG,EI6GI,EI6GJ,EI6HB,EI6HH,EI6HN,EI6HT,EI6HZ,EI6IA,EI6JA,EI6KG,EI6KJ,EI6BOB,EI6CMB,EI6DTB,EI6EIB,EI6EVB,EI6EWB,EI6GTB,EI6HIB,EI6HSB,EI7M,EI7BA,EI7CW,EI7EL,EI7EM,EI7FD,EI7FO,EI7FY,EI7GL,EI7GM,EI7HN,EI7HO,EI7HU,EI7II,EI7IY,EI7JZ,EI7ASB,EI7CSB,EI7DKB,EI7EGB,EI7EIB,EI7EJB,EI7ESB,EI7GCB,EI7GIB,EI7GSB,EI7GZB,EI7HFB,EI7HIB,EI7HMB,EI8CR,EI8CS,EI8DJ,EI8DK,EI8EL,EI8FG,EI8FV,EI8GG,EI8GQ,EI8GS,EI8GX,EI8HP,EI8HS,EI8HT,EI8HU,EI8HV,EI8JK,EI8DGB,EI8ETB,EI8EYB,EI8FKB,EI8FWB,EI8GGB,EI8GMB,EI8GNB,EI8GSB,EI8GVB,EI9E,EI9GA,EI9GH,EI9GQ,EI9HK,EI9ID,EI9IN,EI9IO,EI9JM,EI9JX,EI9KC,EI9KL,EI9CDB,EI9FBB,EI9FCB,EI9FVB,EI9GRB,EI9GSB,EI9GVB,EI9IN,EI9IO,EI9JM,EI9JX,EI9KL,EI9CDB,EI9FVB,EI9GRB,EI9GSB
Donegal;EI0CF,EI0CAR,EI1DRC,EI2CW,EI2DI,EI2IW,EI2KD,EI2BLB,EI2EVB,EI2GYB,EI2HVB,EI2HXB,EI3AX,EI3EQ,EI3HX,EI3HY,EI3IT,EI3IU,EI3IV,EI3JS,EI3FXB,EI3GWB,EI4DU,EI4DW,EI4EK,EI4FK,EI4IT,EI4IV,EI4JA,EI4JR,EI4GVB,EI4HNB,EI5DT,EI5IV,EI5JB,EI5JC,EI5BBB,EI5BWB,EI5ERB,EI5GTB,EI5TCR,EI6AI,EI6DW,EI6FF,EI6FN,EI6GM,EI6GT,EI6HJ,EI6HY,EI6IT,EI6IU,EI6FGB,EI6GMB,EI6GRB,EI6HDB,EI6HGB,EI6HNB,EI6HRB,EI6HVB,EI7EZ,EI7GG,EI7IT,EI7JM,EI7KG,EI7KM,EI7ECB,EI8I,EI8K,EI8DN,EI8EQ,EI8GP,EI8GY,EI8HO,EI8HZ,EI8JF,EI8JU,EI8DZB,EI9DM,EI9EE,EI9EF,EI9ES,EI9FF,EI9FM,EI9GB,EI9HD,EI9HL,EI9IP,EI9IS,EI9IT,EI9JL,EI9JU,EI9JV,EI9KD,EI9BJB,EI9EOB,EI9FNB,EI9GJB,EI9HD,EI9HL,EI9IP,EI9IS,EI9IT,EI9JL,EI9JU,EI9JV,EI9KD,EI9EOB,EI9FNB
Dublin;EI0R,EI0CK,EI0CY,EI0DK,EI0NDR,EI0NMMI,EI1CK,EI1DF,EI1DG,EI1DK,EI2E,EI2V,EI2AI,EI2BY,EI2CC,EI2CD,EI2CI,EI2CL,EI2CR,EI2DA,EI2DF,EI2DJ,EI2DP,EI2DW,EI2EM,EI2FM,EI2FT,EI2HD,EI2HL,EI2HO,EI2HR,EI2IS,EI2JA,EI2JF,EI2JG,EI2JL,EI2JP,EI2JZ,EI2KH,EI2ADB,EI2APB,EI2CHB,EI2CPB,EI2DLB,EI2EBB,EI2ECB,EI2EHB,EI2EJB,EI2FEB,EI2FRB,EI2FRC,EI2GSB,EI2HNB,EI2MIE,EI2NCR,EI2PAR,EI2RTE,EI2SDR,EI3I,EI3V,EI3CN,EI3CX,EI3CZ,EI3DV,EI3DY,EI3EI,EI3ER,EI3EU,EI3FE,EI3FQ,EI3GH,EI3GU,EI3GV,EI3GY,EI3HF,EI3HK,EI3HS,EI3ID,EI3IJ,EI3IN,EI3IO,EI3IZ,EI3KI,EI3SI,EI3ADB,EI3AKB,EI3CTB,EI3CUB,EI3CVB,EI3CYB,EI3DZB,EI3EZB,EI3FKB,EI3GQB,EI3GVB,EI3HEB,EI3HZB,EI4AR,EI4BB,EI4DO,EI4EF,EI4EV,EI4EW,EI4FV,EI4GK,EI4GO,EI4GX,EI4GZ,EI4HE,EI4HH,EI4IN,EI4JL,EI4JS,EI4KG,EI4AFB,EI4BBS,EI4BZB,EI4DJB,EI4DSB,EI4EAB,EI4EPB,EI4ESB,EI4FDB,EI4FIB,EI4FPB,EI4FWB,EI4GLB,EI4GWB,EI4GZB,EI4HFB,EI4HOB,EI5V,EI5CN,EI5DG,EI5DI,EI5DO,EI5DS,EI5EI,EI5EN,EI5FA,EI5FI,EI5FV,EI5GJ,EI5HD,EI5HT,EI5IF,EI5II,EI5IQ,EI5JE,EI5KA,EI5KE,EI5KH,EI5KI,EI5CHB,EI5CLB,EI5CTB,EI5CYB,EI5DRB,EI5DWB,EI5GAB,EI5HFB,EI5HPB,EI6AL,EI6AU,EI6DH,EI6DJ,EI6DK,EI6DO,EI6DT,EI6EC,EI6EF,EI6EG,EI6EW,EI6EZ,EI6FB,EI6FL,EI6FR,EI6FZ,EI6GA,EI6GH,EI6GL,EI6HD,EI6HL,EI6JZ,EI6KK,EI6ALB,EI6AOB,EI6ARB,EI6BEB,EI6BSB,EI6CRB,EI6DCB,EI6DSB,EI6EEB,EI6EFB,EI6EQB,EI6ESB,EI6GBB,EI6GDB,EI6GQB,EI6GUB,EI6HBB,EI6HEB,EI7CC,EI7CD,EI7CX,EI7CY,EI7DW,EI7EC,EI7FL,EI7FV,EI7GH,EI7GV,EI7GW,EI7GY,EI7HA,EI7HF,EI7HG,EI7HK,EI7HT,EI7IA,EI7IL,EI7JN,EI7JR,EI7KD,EI7KH,EI7AAB,EI7BFB,EI7BMB,EI7CHB,EI7CLB,EI7CTB,EI7DBB,EI7EZB,EI7FCB,EI7FQB,EI7FRB,EI7FSB,EI7GMB,EI7GUB,EI7GYB,EI7HAB,EI7HEB,EI7HNB,EI7NET,EI7SDX,EI8Z,EI8AJ,EI8AR,EI8BC,EI8BP,EI8BR,EI8BX,EI8CN,EI8CT,EI8CZ,EI8EE,EI8FH,EI8GE,EI8GM,EI8GR,EI8GW,EI8GZ,EI8HY,EI8IE,EI8JD,EI8JR,EI8BDB,EI8CLB,EI8DRB,EI8EFB,EI8GFB,EI8GLB,EI8GWB,EI9BW,EI9CC,EI9CK,EI9DC,EI9EL,EI9EO,EI9ER,EI9FP,EI9FV,EI9GL,EI9GT,EI9GZ,EI9HQ,EI9HV,EI9HZ,EI9IM,EI9JK,EI9KG,EI9KH,EI9AEB,EI9AKB,EI9BAB,EI9BXB,EI9CPB,EI9DPB,EI9DVB,EI9DZB,EI9EQB,EI9FDB,EI9FHB,EI9GEB,EI9GPB,EI9GQB,EI9HQ,EI9BXB
Galway;EI0CL,EI0MRG,EI0TED,EI1EM,EI2AR,EI2CH,EI2ED,EI2EO,EI2GI,EI2GP,EI2HF,EI2II,EI2GRC,EI2HGB,EI3CG,EI3HJ,EI3IS,EI3KA,EI3FEB,EI3HRB,EI4CF,EI4KI,EI4KK,EI4EEB,EI4EFB,EI4EIB,EI4FOB,EI5CL,EI5DD,EI5FY,EI5GVB,EI6IC,EI6JB,EI6JU,EI6AMB,EI6BHB,EI6GXB,EI6HTB,EI6HZB,EI7EH,EI7FH,EI7IR,EI7JK,EI7DGB,EI7DMB,EI7EXB,EI7GHB,EI7GQB,EI7GWB,EI8DC,EI8DD,EI8EU,EI8EY,EI8HJ,EI8HQ,EI8IH,EI8EXB,EI8GJB,EI9CN,EI9FN,EI9KJ,EI9CTB,EI9GDB,EI9GKB,EI9GRC,EI9GWB,EI9CTB,EI9GDB,EI9GRC,EI9GWB
Kerry;EI2CF,EI2FJ,EI2GXB,EI3AL,EI3DN,EI3FF,EI3FZ,EI3JR,EI3HSB,EI4BS,EI4GL,EI4GR,EI4JU,EI4DWB,EI4HAB,EI5EF,EI5AXB,EI6ET,EI6EY,EI6HQ,EI6GJB,EI6HWB,EI7EU,EI7KL,EI7CQB,EI7EQB,EI8FI,EI8GV,EI8HC,EI8CHB,EI8FAB,EI8GQB,EI9HM,EI9HO,EI9JO,EI9CZB,EI9HM,EI9HO,EI9JO,EI9CZB
Kildare;EI0DD,EI0PL,EI2KG,EI2FCB,EI2GKB,EI2GLB,EI2GRB,EI3JO,EI3KG,EI3KH,EI3DWB,EI3GHB,EI3GKB,EI3HIB,EI3HTB,EI3HWB,EI4L,EI4HY,EI4IQ,EI4CQB,EI4DBB,EI4GIB,EI4HKB,EI4HTB,EI5C,EI5DE,EI5DY,EI5GB,EI5GP,EI5HZ,EI5JQ,EI5CAB,EI5DJB,EI5HMB,EI5HSB,EI5HYB,EI6D,EI6CJ,EI6CK,EI6IF,EI6JC,EI6JX,EI6KD,EI6KM,EI6GLB,EI7DF,EI7DV,EI7EK,EI7IK,EI8EUB,EI9CW,EI9DO,EI9IB,EI9JF,EI9IB,EI9JF
Kilkenny;EI2EK,EI2HG,EI2HH,EI2HQ,EI2AFB,EI2HSB,EI2HYB,EI3ENB,EI3EXB,EI4CN,EI4DT,EI4HMB,EI4KRC,EI5EV,EI5KN,EI5CEB,EI5GZB,EI5HBB,EI8FRB,EI8BLB
