LYBE;BEOGRAD / NIKOLA TESLA;KN04dt
LYBJ;BEOGRAD / LISIČJI JARAK;KN04fw
LYBO;BOR;KN14ba
LYBT;BATAJNICA;KN04dw
LYBV;BANJIČKI VIS;KN04fs
LYCC;BELA CRKVA;KN04qv
LYKA;KRALJEVO / BREGE;KN03ir
LYKI;KIKINDA;KN05fs
LYKO;KOVIN;KN04ls
LYKS;KRUŠEVAC / KOŠIRSKO POLJE;KN03qn
LYKT;KOSTOLAC;KN04nr
LYKV;KRALJEVO / MORAVA;KN03ht
LYLE;LESKOVAC;KN03xa
LYNI;NIŠ / KONSTANTIN VELIKI;KN03wi
LYNS;NOVI SAD / ČENEJ;JN95wj
LYPA;PANČEVO;KN04hv
LYPN;PARAĆIN /DAVIDOVAC;KN03ru
LYPR;PRIŠTINA;KN02mn
LYPT;PRIŠTINA / BATLAVA;KN02ou
LYSD;SMEDEREVO / RADINAC;KN04lp
LYSM;SREMSKA MITROVICA / VELIKI RADINCI;JN95ta
LYSO;SOMBOR;JN95mr
LYSP;SMEDEREVSKA PALANKA / RUDINE;KN04li
LYSU;SUBOTICA;JN96ua
LYTR;TRSTENIK;KN03mo
LYUZ;UŽICE / PONIKVE;JN93uv
LYVA;VALJEVO / DIVCI;KN04ah
LYVR;VRŠAC;KN05pd
LYZR;ZRENJANIN / EČKA;KN05fi
YU01;ČAČAK / RAVAN;KN03fv
YU02;JAGODINA / BARUTANA;KN03ox
YU03;SALAŠ / RUJARAC;KN14dd
YU04;ZEMUN POLJE / 13. MAJ;KN04dv
YU05;BAČKI JARAK/DTD – B. JARAK;JN95wi
YU06;BOGATIĆ;JN49rt
YU07;NOVA PAZOVA / VOJKA;KN04cw
YU08;PRIJEPOLJE / IVANJE;JN93ti
YU09;SAMOŠ / RADIN SALAŠ;KN05jf
YU10;SOMBOR / KORA;JN95ms
YU11;SURČIN / 7. JULI;KN04ds
YU12;SJENICA;KN03ag
YU13;DOBANOVCI - BD AGRO;KN04ct
YU14;MOKRA GORA;JN93st
YU15;NOVI SAD / CIKLONIZACIJA;JN95vg
YU16;POŽEGA;KN03au
